Curriculum,"Agricultural Education - Communications, Leadership, and Extension Option",,,,,,,,,
Degree Plan,Ag Ed - Leadership Track,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,College Writing I,WRIT,101W,,,,3,,,1
2,Economic Way of Thinking,ECNS,101IS,,,,3,,,1
3,Introduction to Agricultural and Environmental Resources,AGSC,101,,,,1,,,1
4,Natural Resource Conservation,NRSM,101,,,,3,,,1
5,Montana Range Plants,NRSM,102,,,,1,,,1
6,College Algebra,M,121Q,,,,3,,,1
7,Leadership Dev For Agriculture,AGED,140US,,,,3,,,2
8,Introduction to Animal Science,ANSC,100,,,,3,,,2
9,Microcomputers in Agriculture,AGED,105,,,,3,,,2
10,University Core,CORE,IH,,,,3,,,2
11,Introduction to General Chemistry,CHMY,121IN,,,12,3,,,2
12,Introduction to General Chemistry Lab,CHMY,122IN,,,,1,,,2
13,Microeconomics,ECNS,204IS,2;6,,,3,,,3
14,Indiv and Fam Dev: Lifespan,HDFS,101IS,,,,3,,,3
15,Soils ,ENSC,245IN,6,,,3,,,3
16,Leadership Foundations,HLD,121US,,,,3,,,3
17,Intermediate Tech Writing,WRIT,221,1,,,3,,,3
18,Livestock,ANSC,222,,,,3,,,4
19,University Core,ELEC,IA,,,,3,,,4
20,Technology and Society,TE,250CS,,,,3,,,4
21,Economics of Ag Business,AGBE,210IS,2,,,3,,,4
22,Critical Thinking & Leading,HLD,221,,,,3,,,4
23,Biometry,BIOB,318,6,,,3,,,5
24,Communicating Agriculture,AGED,312R,,,,3,,,5
25,Construction Technology,AGED,333,,,,3,,,5
26,News and Pub Relations Writing,WRIT,373,1,,,3,,,8
27,Special Topics,HLD,491,1,,,1,,,5
28,Philosophy and Programs in Extension,AGED,309,,,,3,,,6
29,Agricultural Youth Event Planning & Management,AGED,363,7,,,3,,,6
30,Management and Organization,BMGT,335,,,,3,,,6
31,Leadership Capstone,HLD,302,16,,,1,,,6
32,Introduction to International Business,BGEN,242D,,,,3,,,6
33,Accounting and Finance Basics,BGEN,210,6,,,3,,,6
34,Internship,AGED,498,,,,4,,,6
35,Non-Formal Teaching Methods in Agriculture,AGED,482,,,,3,,,7
36,Agricultural Law,AGBE,337,,,,3,,,7
37,Negotiation/Dispute Resolution,BMGT,406,30,,,3,,,7
38,Special Topics,HLD,491,,,,3,,,7
39,Principles of Marketig,BMKT,325,2,,,3,,,7
40,Agricultural Issues and Research,AGED,401,,,,3,,,8
41,Electrical and Power Systems Operation,AGED,315,,,,3,,,8
42,Special Topics,HLD,491,,,,3,,,8
43,Social Media Practices,LSCI,437,,,,3,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
