Curriculum,Natural Resources Rangeland Ecology - Rangeland Ecology and Management Option,,,,,,,,,
Degree Plan,Natural Resources Rangeland Ecology - Rangeland Ecology and Management Option,,,,,,,,,
Institution,Montana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,3.0601,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Natural Resource Conservation,NRSM,101,,,,3,,,1
2,Montana Range Plants,NRSM,102,,,,1,,,1
3,Principles of Biological Diversity,BIOB,170IN,,,,4,,,1
4,Introduction to General Chemistry,CHMY,121IN,,,,3,,,1
5,Introduction to General Chemistry Lab,CHMY,122IN,,,4,1,,,1
6,Economic Way of Thinking,ECNS,101IS,,,,3,,,1
7,Introduction to Animal Science,ANSC,100,,,,3,,,2
8,Principles of Living Systems,BIOB,160,,,,4,,,2
9,Leadership Dev For Agriculture,AGED,140US,,,,3,,,2
10,University Core,CORE,,,,,3,,,2
11,Range and Pasture Monitoring,NRSM,235,1;2;7,,,1,,,3
12,Natural Resource Ecology,NRSM,240,1,,,3,,,3
13,Forages,AGSC,342,,,,3,,,3
14,Soils,ENSC,245IN,,,,3,,,3
15,Prof Business Communication,BMGT,205,9;10,,,3,,,3
16,University Core and Electives,ELEC,,,,,3,,,3
17,Livestock in Sustain Systems,ANSC,222,7,,,3,,,4
18,Introduction to Organic Chemistry and Biochemistry,CHMY,123,4,,,3,,,4
19,Introduction to Organic and Biochemistry Lab,CHMY,124,,,18,1,,,4
20,Identification of Seed Plants,BIOO,230,3,,,4,,,4
21,Biometry,BIOB,318,,,,3,,,4
22,Fire Ecology and Mgmt,NRSM,330,1,,,3,,,5
23,Intro to GIS Science & Cartog,GPHY,284,,,,3,,,5
24,Restoration Ecology,ENSC,461,3;12,,,3,,,5
25,Agrostology,AGSC,454,20,,,3,,,5
26,University Core and Restricted Electives,ELEC,,,,,6,,,5
27,Wildlife-Livestock Nutrition,WILD,325,1;2;7,,,3,,,6
28,Vegetation of Western Wildlands,NRSM,350,12;25,29,,3,,,6
29,Biomes of Western Wildlands,NRSM,351,12,28,,2,,,6
30,Grazing Ecology and Management,NRSM,353,2;12,,,3,,,6
31,Princ of Fish & Wildlife Mgmt,WILD,301,3;8,,,3,,,6
32,Habitat Inventory and Analysis,NRSM,453,12;21,,,3,,,7
33,Landscape Pedology,ENSC,454,14,,,3,,,7
34,University Core and Restricted Electives,ELEC,,,,,9,,,7
35,General Ecology,BIOE,370,3;21,,,3,,,8
36,Plant Physiology,BIOO,433,8;18,,,3,,,8
37,Riparian Ecology & Management,NRSM,455,12;14,,,3,,,8
38,Range & Wildlife Policy and Planning,WILD,420,1,,,3,,,8
39,Wildlife Habitat Ecology,WILD,438,12,,,3,,,8
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
